source	hasDoc	hasIntent	hasBehavior	hasConstraint	hasIO	hasCallChain	hasState	missingSections
src/agents/pi-embedded-runner/tool-split.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-runner/types.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-runner/utils.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-subscribe.handlers.lifecycle.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-subscribe.handlers.messages.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-subscribe.handlers.tools.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-subscribe.handlers.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-subscribe.handlers.types.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-subscribe.raw-stream.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-subscribe.tools.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-subscribe.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-subscribe.types.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded-utils.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-embedded.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-extensions/compaction-safeguard-runtime.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-extensions/compaction-safeguard.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-extensions/context-pruning.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-extensions/context-pruning/extension.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-extensions/context-pruning/pruner.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-extensions/context-pruning/runtime.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-extensions/context-pruning/settings.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-extensions/context-pruning/tools.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-model-discovery.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-settings.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-tool-definition-adapter.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-tools.abort.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-tools.before-tool-call.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-tools.policy.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-tools.read.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-tools.schema.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-tools.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pi-tools.types.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pty-dsr.ts	true	true	false	false	true	true	true	行为,约束
src/agents/pty-keys.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox-paths.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/browser-bridges.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/browser.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/config-hash.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/config.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/constants.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/context.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/docker.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/manage.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/prune.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/registry.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/runtime-status.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/shared.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/tool-policy.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/types.docker.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/types.ts	true	true	false	false	true	true	true	行为,约束
src/agents/sandbox/workspace.ts	true	true	false	false	true	true	true	行为,约束
src/agents/schema/clean-for-gemini.ts	true	true	false	false	true	true	true	行为,约束
src/agents/schema/typebox.ts	true	true	false	false	true	true	true	行为,约束
src/agents/session-file-repair.ts	true	true	false	false	true	true	true	行为,约束
src/agents/session-slug.ts	true	true	false	false	true	true	true	行为,约束
src/agents/session-tool-result-guard-wrapper.ts	true	true	false	false	true	true	true	行为,约束
src/agents/session-tool-result-guard.ts	true	true	false	false	true	true	true	行为,约束
src/agents/session-transcript-repair.ts	true	true	false	false	true	true	true	行为,约束
src/agents/session-write-lock.ts	true	true	false	false	true	true	true	行为,约束
src/agents/shell-utils.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills-install.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills-status.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills/bundled-context.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills/bundled-dir.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills/config.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills/env-overrides.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills/frontmatter.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills/plugin-skills.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills/refresh.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills/serialize.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills/types.ts	true	true	false	false	true	true	true	行为,约束
src/agents/skills/workspace.ts	true	true	false	false	true	true	true	行为,约束
src/agents/subagent-announce-queue.ts	true	true	false	false	true	true	true	行为,约束
src/agents/subagent-announce.ts	true	true	false	false	true	true	true	行为,约束
src/agents/subagent-registry.store.ts	true	true	false	false	true	true	true	行为,约束
src/agents/subagent-registry.ts	true	true	false	false	true	true	true	行为,约束
src/agents/synthetic-models.ts	true	true	false	false	true	true	true	行为,约束
src/agents/system-prompt-params.ts	true	true	false	false	true	true	true	行为,约束
src/agents/system-prompt-report.ts	true	true	false	false	true	true	true	行为,约束
src/agents/system-prompt.ts	true	true	false	false	true	true	true	行为,约束
src/agents/test-helpers/fast-coding-tools.ts	true	true	false	false	true	true	true	行为,约束
src/agents/test-helpers/fast-core-tools.ts	true	true	false	false	true	true	true	行为,约束
src/agents/timeout.ts	true	true	false	false	true	true	true	行为,约束
src/agents/together-models.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tool-call-id.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tool-display.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tool-images.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tool-policy.conformance.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tool-policy.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tool-summaries.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/agent-step.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/agents-list-tool.ts	true	true	false	false	true	true	true	行为,约束
src/agents/tools/browser-tool.schema.ts	true	true	false	false	true	true	true	行为,约束
